PM001TJ	0
PM002TJ	0
PM004TJ	0
PM006TJ	0
PM007TJ	0
PM009TJ	0
PM012TJ	0
PM014TJ	0
PM015TJ	0
PM016TJ	0
PM017TJ	0
PM018TJ	0
PM019TJ	0
PM020TJ	0
PM021TJ	0
PM022TJ	1
PM024TJ	0
PM025TJ	0
PM026TJ	0
PM027TJ	0
PM029TJ	1
PM031TJ	0
PM033TJ	0
PM034TJ	0
PM035TJ	0
PM036TJ	0
PM038TJ	0
PM039TJ	0
PM040TJ	0
PM041TJ	0
PM043TJ	0
PM044TJ	0
PM046TJ	0
PM047TJ	0
PM048TJ	0
PM049TJ	0
PM050TJ	1
PM051TJ	0
PM053TJ	0
PM055TJ	0
PM056TJ	0
PM059TJ	0
PM060TJ	0
PM065TJ	1
PM067TJ	1
PM071TJ	0
PM074TJ	1
PM075TJ	1
PM080TJ	1
PM081TJ	1
PM082TJ	1
PM083TJ	0
PM084TJ	0
PM087TJ	0
PM088TJ	0
PM089TJ	0
PM090TJ	0
PM091TJ	0
PM092TJ	0
PM093TJ	0
PM094TJ	0
PM095TJ	0
PM096TJ	0
PM098TJ	1
PM099TJ	0
PM100TJ	0
PM101TJ	0
PM102TJ	0
PM103TJ	0
PM104TJ	0
SRR5133040.1	0
SRR5133044.1	0
SRR5133051.1	0
SRR5133052.1	0
SRR5133063.1	0
SRR5133065.1	0
SRR5133073.1	0
SRR5133074.1	0
SRR5133077.1	0
SRR5133080.1	0
SRR5133084.1	0
SRR5133086.1	0
SRR5133087.1	0
SRR5133094.1	0
SRR5133106.1	0
SRR5133109.1	0
SRR5133110.1	0
SRR5133115.1	0
SRR5133120.1	0
SRR5133122.1	0
SRR5133124.1	0
SRR5133125.1	0
SRR5133135.1	0
